machine_id,equipment_type,age_months,operating_hours,maintenance_history,sensor_temp,sensor_vibration,sensor_pressure,sensor_humidity,failure_next_30_days
MACH-000000,pump,271,58284.0,98,187.77,8.0892,22.74,58.43,0
MACH-000001,turbine,223,24167.3,65,189.52,9.9611,87.2,49.93,1
MACH-000002,compressor,63,21474.6,3,107.2,6.3313,75.61,2.84,0
MACH-000003,motor,299,1868.7,13,50.17,7.7669,99.81,35.58,1
MACH-000004,motor,298,195671.3,68,147.86,13.3787,80.6,84.54,1
MACH-000005,turbine,13,131016.2,65,132.31,13.4007,63.16,78.66,0
MACH-000006,pump,8,64247.4,37,175.06,2.4085,91.98,34.94,0
MACH-000007,compressor,74,115815.7,65,170.42,12.5735,99.96,85.23,1
MACH-000008,pump,239,123814.8,36,55.67,0.7095,62.36,80.35,0
MACH-000009,pump,180,36585.8,47,116.8,11.3358,43.7,37.86,0
MACH-000010,compressor,154,57773.6,17,87.76,6.8563,25.71,39.61,0
MACH-000011,turbine,125,109455.6,96,185.85,11.6451,5.97,89.37,0
MACH-000012,compressor,144,167958.9,63,81.78,10.6636,21.54,34.94,0
MACH-000013,turbine,192,25917.7,27,12.68,11.5411,8.64,23.8,0
MACH-000014,compressor,20,171667.1,67,97.96,10.7359,95.58,14.99,0
MACH-000015,turbine,176,121797.2,58,46.07,14.2647,73.34,51.23,0
MACH-000016,compressor,67,97931.9,28,2.14,6.8618,51.96,40.56,0
MACH-000017,pump,237,28788.1,13,182.41,9.677,57.68,88.73,0
MACH-000018,turbine,59,109980.8,68,134.54,12.8736,32.59,93.6,0
MACH-000019,motor,22,70726.3,39,23.43,10.8965,92.14,90.32,0
MACH-000020,compressor,131,37793.4,26,75.9,11.5553,61.98,42.94,0
MACH-000021,motor,133,175994.7,26,55.73,14.3892,44.16,1.49,0
MACH-000022,pump,156,92114.5,15,163.26,14.2225,10.88,20.31,0
MACH-000023,turbine,259,15951.2,70,139.34,10.3794,75.49,38.92,0
MACH-000024,turbine,210,60427.7,94,21.97,12.4453,22.53,8.71,0
MACH-000025,compressor,109,36301.0,77,1.33,13.5808,5.82,28.96,0
MACH-000026,motor,218,187849.0,22,163.97,1.243,44.27,77.61,0
MACH-000027,turbine,152,48612.4,86,186.64,8.3671,31.04,59.71,1
MACH-000028,compressor,68,101279.3,48,192.37,5.9644,15.07,11.9,0
MACH-000029,motor,7,149104.5,25,23.79,1.7503,25.05,28.34,0
MACH-000030,motor,2,31702.2,43,78.22,5.2751,39.35,71.61,0
MACH-000031,pump,68,87497.5,65,24.46,8.1671,49.27,70.53,0
MACH-000032,pump,246,130656.3,66,186.87,1.905,33.85,7.39,1
MACH-000033,compressor,140,176390.7,51,90.45,0.8969,23.7,86.41,0
MACH-000034,turbine,136,130820.6,46,181.98,8.3437,52.07,54.77,0
MACH-000035,pump,120,16016.8,54,90.82,1.9632,78.24,46.73,0
MACH-000036,turbine,77,64312.3,75,18.16,5.0747,13.16,44.78,0
MACH-000037,turbine,215,70186.4,22,71.47,4.5769,12.37,15.01,0
MACH-000038,motor,4,77654.7,28,194.29,0.4632,29.51,2.49,0
MACH-000039,compressor,184,188323.7,71,175.3,0.2799,37.96,56.19,0
MACH-000040,pump,282,7140.7,72,102.77,1.6792,53.79,55.96,0
MACH-000041,turbine,265,60434.7,62,65.77,5.0514,96.11,9.44,0
MACH-000042,compressor,111,98491.2,77,32.8,14.1988,15.19,18.91,0
MACH-000043,motor,257,17279.2,91,27.57,6.8422,72.8,98.9,0
MACH-000044,pump,72,96707.6,38,31.14,14.2148,34.72,37.92,0
MACH-000045,turbine,73,21425.8,60,106.41,2.9691,50.17,54.8,0
MACH-000046,motor,104,167556.4,87,139.92,2.5383,74.74,95.43,0
MACH-000047,turbine,6,54016.9,70,59.28,5.2826,83.02,82.24,0
MACH-000048,compressor,80,104602.2,17,196.85,2.7371,78.45,31.45,1
MACH-000049,turbine,257,123663.6,34,93.36,13.4238,77.09,72.72,0
MACH-000050,turbine,229,61145.1,60,119.12,14.6189,3.72,61.77,0
MACH-000051,pump,99,70262.9,18,107.2,6.7372,41.79,64.16,0
MACH-000052,motor,94,102103.2,75,154.21,5.2584,53.75,12.25,0
MACH-000053,motor,105,161086.9,95,187.13,0.1612,54.87,28.23,0
