customer_id,gender,senior_citizen,partner,dependents,tenure,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,total_charges,churn
CUST-00000,Female,1,No,No,6,Yes,No,Fiber optic,Yes,No,Yes,No internet service,No,No internet service,month-to-month,Yes,mailed_check,113.11,678.65,No
CUST-00001,Male,1,Yes,Yes,4,No,No phone service,Fiber optic,No,Yes,No,No,No internet service,No internet service,two year,Yes,electronic_check,103.37,413.49,No
CUST-00002,Female,1,Yes,Yes,56,Yes,No,DSL,No,No,No,No internet service,No,No,two year,Yes,bank_transfer,77.92,4363.32,No
CUST-00003,Female,1,No,No,58,Yes,Yes,DSL,No,No,No internet service,Yes,Yes,Yes,month-to-month,No,electronic_check,37.78,2191.16,No
CUST-00004,Male,0,No,No,50,Yes,No,Fiber optic,No,Yes,No internet service,No internet service,No internet service,No,month-to-month,Yes,mailed_check,77.95,3897.39,No
CUST-00005,Female,1,No,No,5,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,two year,Yes,credit_card,74.19,370.95,No
CUST-00006,Male,0,No,No,31,No,No phone service,Fiber optic,No,No,Yes,No,No,No,month-to-month,Yes,mailed_check,97.78,3031.29,No
CUST-00007,Female,1,Yes,No,35,Yes,No,No,Yes,Yes,No,No,No internet service,No internet service,two year,Yes,electronic_check,18.4,644.09,No
CUST-00008,Female,0,No,No,56,No,No phone service,DSL,No internet service,No,No,Yes,No internet service,Yes,two year,No,credit_card,81.59,4568.85,No
CUST-00009,Female,0,Yes,Yes,65,Yes,Yes,DSL,Yes,No,Yes,No,No,No,month-to-month,Yes,bank_transfer,71.32,4635.49,No
CUST-00010,Female,1,No,Yes,10,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No internet service,two year,Yes,mailed_check,115.95,1159.55,No
CUST-00011,Female,0,Yes,No,20,Yes,No,Fiber optic,No,No internet service,No,Yes,Yes,No internet service,two year,No,bank_transfer,124.55,2491.07,No
CUST-00012,Male,1,Yes,Yes,30,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,month-to-month,Yes,credit_card,41.97,1259.24,No
CUST-00013,Male,0,Yes,No,60,Yes,Yes,Fiber optic,Yes,No internet service,Yes,No internet service,Yes,No internet service,month-to-month,No,bank_transfer,104.16,6249.6,No
CUST-00014,Male,1,Yes,No,17,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,two year,Yes,bank_transfer,134.13,2280.15,No
CUST-00015,Female,1,No,Yes,57,Yes,Yes,Fiber optic,No,Yes,No internet service,Yes,No internet service,Yes,two year,No,bank_transfer,114.41,6521.61,No
CUST-00016,Female,1,No,No,12,Yes,No,Fiber optic,No,No,No internet service,Yes,Yes,Yes,one year,No,bank_transfer,133.35,1600.24,No
CUST-00017,Female,0,Yes,No,53,Yes,Yes,Fiber optic,No internet service,No,No internet service,No internet service,No,No,one year,No,electronic_check,96.64,5121.85,No
CUST-00018,Male,1,Yes,No,0,Yes,No,DSL,No internet service,No internet service,Yes,No internet service,No internet service,Yes,two year,No,credit_card,90.14,90.14,No
CUST-00019,Female,1,No,No,3,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No internet service,Yes,two year,No,electronic_check,96.66,289.98,Yes
CUST-00020,Female,0,No,Yes,14,Yes,No,Fiber optic,Yes,No internet service,No internet service,No,Yes,No,month-to-month,Yes,bank_transfer,138.21,1934.88,No
CUST-00021,Female,1,No,No,11,Yes,No,Fiber optic,No,No internet service,Yes,No,No,No,two year,Yes,bank_transfer,91.44,1005.83,No
CUST-00022,Male,0,Yes,Yes,21,Yes,Yes,DSL,No,No,No internet service,No,No,No,month-to-month,No,bank_transfer,58.09,1219.85,No
CUST-00023,Female,0,Yes,Yes,30,Yes,No,DSL,No internet service,Yes,Yes,No,Yes,No,month-to-month,No,credit_card,75.8,2273.87,No
CUST-00024,Male,1,No,No,36,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,month-to-month,No,credit_card,121.09,4359.18,No
CUST-00025,Male,0,No,Yes,50,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,two year,Yes,mailed_check,137.05,6852.6,No
CUST-00026,Female,1,No,No,13,Yes,Yes,Fiber optic,No,No internet service,No,No,No,Yes,two year,Yes,credit_card,126.41,1643.27,No
CUST-00027,Female,1,Yes,No,62,Yes,No,Fiber optic,No,No internet service,No,No,No internet service,No internet service,two year,No,mailed_check,80.15,4969.39,No
CUST-00028,Male,1,No,No,0,Yes,No,Fiber optic,Yes,Yes,No internet service,No,No internet service,No,two year,No,credit_card,125.82,125.82,No
CUST-00029,Male,1,No,No,53,Yes,Yes,Fiber optic,No internet service,No internet service,No internet service,Yes,Yes,No,month-to-month,No,mailed_check,76.11,4033.76,No
CUST-00030,Male,1,Yes,Yes,49,Yes,No,Fiber optic,No internet service,Yes,Yes,No,No internet service,No internet service,month-to-month,No,mailed_check,108.49,5315.9,No
CUST-00031,Male,1,Yes,No,43,Yes,No,DSL,Yes,Yes,Yes,No,No,No,month-to-month,Yes,mailed_check,29.39,1263.67,No
CUST-00032,Male,1,Yes,Yes,64,Yes,No,Fiber optic,No internet service,Yes,No,No internet service,No internet service,No,one year,Yes,bank_transfer,104.93,6715.44,No
CUST-00033,Male,1,No,Yes,69,No,No phone service,Fiber optic,Yes,Yes,Yes,No,No,No,one year,Yes,mailed_check,141.15,9739.6,No
CUST-00034,Male,0,Yes,No,62,Yes,Yes,DSL,No,No,No,No internet service,No internet service,Yes,month-to-month,Yes,mailed_check,46.09,2857.75,Yes
CUST-00035,Male,0,Yes,Yes,62,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,month-to-month,No,electronic_check,113.41,7031.12,No
CUST-00036,Female,0,No,No,67,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,month-to-month,Yes,credit_card,116.35,7795.68,No
CUST-00037,Female,0,Yes,No,23,Yes,No,Fiber optic,No,Yes,No internet service,No internet service,No,No,month-to-month,Yes,electronic_check,125.85,2894.63,No
CUST-00038,Male,1,No,No,0,Yes,Yes,Fiber optic,No internet service,No internet service,No,No,Yes,No internet service,month-to-month,Yes,bank_transfer,102.52,102.52,Yes
CUST-00039,Female,1,No,Yes,49,Yes,No,DSL,No,No internet service,No internet service,No,No,No internet service,month-to-month,No,electronic_check,54.3,2660.6,No
CUST-00040,Female,0,No,No,38,Yes,Yes,DSL,No,No,No,No,No,No internet service,one year,Yes,credit_card,86.7,3294.53,No
